Wall time,Step,Value
1698296350.6314266,7,0.75
1698296386.7694657,15,0.875
1698296422.6264603,23,0.875
1698296458.2743697,31,0.625
1698296493.8593554,39,0.625
1698296529.0946302,47,0.5
1698296564.5994363,55,0.125
1698296600.2940311,63,0.5
1698296636.7413733,71,1.0
1698296673.4608214,79,0.875
1698296710.5096307,87,0.875
1698296747.0828276,95,0.875
1698296783.4698644,103,0.75
1698296819.3749018,111,0.75
1698296854.798544,119,0.75
1698296889.6183236,127,0.875
1698296924.6379476,135,0.75
1698296959.6489298,143,0.875
1698296994.6682699,151,1.0
1698297029.7440097,159,0.875
1698297064.9606516,167,0.75
1698297100.0431433,175,1.0
1698297135.1678402,183,1.0
1698297170.139638,191,1.0
1698297205.2125945,199,0.75
1698297240.230549,207,0.875
1698297275.7655904,215,0.875
1698297311.0008469,223,0.75
1698297345.815354,231,0.875
1698297381.03642,239,1.0
1698297415.7344513,247,0.75
1698297450.7915125,255,1.0
1698297485.5841959,263,0.75
1698297520.6049244,271,1.0
1698297555.8161,279,0.875
1698297590.2310607,287,1.0
1698297625.0607522,295,1.0
1698297659.69525,303,0.875
1698297693.9240284,311,0.75
1698297728.3156672,319,0.75
1698297763.148741,327,0.875
1698297797.5979722,335,0.875
1698297832.1978624,343,0.875
1698297866.4075975,351,0.875
1698297900.6790428,359,0.875
1698297935.142847,367,0.875
1698297969.3827288,375,0.875
1698298003.8377228,383,1.0
1698298037.9555058,391,1.0
1698298072.6200137,399,0.75
1698298106.8394892,407,0.875
1698298141.01544,415,0.625
1698298175.0178034,423,1.0
1698298209.499298,431,0.875
1698298244.0530984,439,1.0
1698298278.2805889,447,0.75
1698298312.421338,455,0.625
1698298346.5042522,463,0.75
1698298380.434733,471,0.625
1698298414.3267922,479,0.75
