Wall time,Step,Value
1698124912.6399534,7,0.75
1698124978.2290509,15,0.75
1698125029.8629193,23,0.75
1698125080.595987,31,0.75
1698125134.0708728,39,0.625
1698125186.7869804,47,0.875
1698125236.1558638,55,1.0
1698125336.1738768,63,1.0
1698125388.8314888,71,0.75
1698125439.7870107,79,0.875
1698125490.461529,87,0.875
1698125542.3597443,95,0.875
1698125593.032417,103,0.875
1698125646.824746,111,1.0
1698125699.3453376,119,1.0
1698125750.6829052,127,0.875
1698125805.7555292,135,0.875
1698125858.8983843,143,0.875
1698125911.5136113,151,1.0
1698125962.7676275,159,1.0
1698126017.801002,167,1.0
1698126070.8568256,175,1.0
1698126123.5037413,183,1.0
1698126175.0773556,191,0.875
1698126230.093295,199,1.0
1698126283.4947057,207,1.0
1698126336.49078,215,1.0
1698126388.141631,223,1.0
1698126442.6996155,231,1.0
1698126496.3591616,239,0.875
1698126549.0686986,247,1.0
1698126600.5562549,255,0.875
1698126655.5010164,263,1.0
1698126708.6723747,271,1.0
1698126761.8152056,279,1.0
1698126813.2904847,287,0.875
1698126868.5175803,295,1.0
1698126921.9569921,303,1.0
1698126974.7226222,311,1.0
1698127026.606416,319,1.0
1698127082.0028508,327,1.0
1698127135.414207,335,1.0
1698127188.5390205,343,1.0
1698127240.2415402,351,1.0
1698127295.3214707,359,1.0
1698127348.7649086,367,0.875
1698127401.6772718,375,1.0
1698127453.4499784,383,1.0
1698127508.3121006,391,1.0
1698127561.7115264,399,0.875
1698127614.6887932,407,1.0
1698127666.5226638,415,1.0
1698127721.5416887,423,1.0
1698127774.810148,431,1.0
1698127827.4504251,439,1.0
1698127879.0975704,447,1.0
1698127934.3074794,455,1.0
1698127987.654855,463,1.0
1698128040.5591397,471,0.875
1698128092.2414637,479,1.0
1698149474.9871504,7,0.375
1698149540.444287,15,0.875
1698149591.715247,23,0.875
1698149641.9054646,31,0.625
1698149694.9099765,39,0.75
1698149746.6757903,47,1.0
1698149794.852891,55,0.875
1698149843.7995043,63,0.875
1698149894.9383626,71,1.0
1698149945.2219162,79,0.875
1698149995.3785357,87,1.0
1698150046.3900864,95,1.0
1698150096.4434853,103,0.875
1698150149.4659142,111,1.0
1698150201.5458357,119,1.0
1698150252.473893,127,1.0
1698150306.9801214,135,0.875
1698150359.504275,143,0.875
1698150411.5259962,151,1.0
1698150462.2158077,159,1.0
1698150516.5364509,167,1.0
1698150568.950671,175,1.0
1698150621.1281474,183,1.0
1698150672.1205595,191,0.875
1698150726.5016003,199,1.0
1698150779.322568,207,1.0
1698150831.9221141,215,1.0
1698150883.1953483,223,1.0
1698150937.4051483,231,1.0
1698150990.5959826,239,0.875
1698151042.8228436,247,1.0
1698151093.8147373,255,0.875
1698151148.3233461,263,1.0
1698151201.4220183,271,1.0
1698151254.2512572,279,1.0
1698151305.274076,287,0.875
1698151360.1804142,295,1.0
1698151413.2490613,303,1.0
1698151465.863532,311,1.0
1698151517.1974635,319,1.0
1698151572.2295291,327,1.0
1698151625.2174466,335,1.0
1698151677.9404004,343,1.0
1698151729.3714607,351,1.0
1698151784.237679,359,1.0
1698151837.3163855,367,0.875
1698151889.877629,375,1.0
1698151941.401313,383,1.0
1698151995.981424,391,1.0
1698152049.0139039,399,0.875
1698152101.781007,407,1.0
1698152153.2525268,415,1.0
1698152207.9115684,423,1.0
1698152260.5718272,431,1.0
1698152312.9312425,439,1.0
1698152364.3701394,447,1.0
1698152419.4957411,455,1.0
1698152472.6230605,463,1.0
1698152525.28473,471,0.875
1698152576.746086,479,1.0
1698152623.237386,487,0.875
1698152669.795048,495,1.0
1698152716.453294,503,0.875
1698152763.133913,511,0.875
1698152809.565234,519,1.0
1698152855.9531932,527,1.0
1698152902.4580033,535,1.0
1698152949.061714,543,1.0
1698152995.8740246,551,1.0
1698153042.8835056,559,0.875
1698153089.4637804,567,1.0
1698153136.2659695,575,1.0
1698153182.7810004,583,0.875
1698153229.2273228,591,1.0
1698153276.007481,599,1.0
1698153322.3677316,607,1.0
1698153368.9262912,615,0.875
1698153415.545436,623,0.875
1698153462.1158476,631,1.0
1698153508.2011702,639,1.0
1698153554.3905845,647,1.0
1698153600.6804004,655,1.0
1698153647.5201979,663,1.0
1698153694.1680834,671,0.875
1698153740.6270194,679,1.0
1698153787.4112632,687,1.0
1698153834.38768,695,1.0
1698153880.8173451,703,1.0
1698153926.9562438,711,1.0
1698153973.97438,719,0.875
1698154020.4585056,727,1.0
1698154066.604914,735,0.875
1698154112.8557017,743,1.0
1698154159.2081876,751,1.0
1698154206.182459,759,1.0
1698154252.337061,767,0.875
1698154298.9198332,775,1.0
1698154345.5590928,783,1.0
1698154392.1201868,791,1.0
1698154438.4860208,799,1.0
1698154485.1475675,807,1.0
1698154531.746898,815,1.0
1698154578.3737948,823,1.0
1698154624.955513,831,1.0
1698154671.5412476,839,1.0
1698154718.2235928,847,0.875
1698154764.865302,855,1.0
1698154811.4999325,863,1.0
1698154857.724273,871,1.0
1698154904.6810157,879,0.875
1698154951.4124095,887,1.0
1698154997.9924386,895,1.0
1698155044.425306,903,1.0
1698155090.707693,911,1.0
1698155137.1048589,919,1.0
1698155183.611698,927,1.0
1698155230.262855,935,1.0
1698155276.812334,943,1.0
1698155323.2071254,951,0.875
1698155369.5336351,959,1.0
1698155416.4383824,967,0.875
1698155464.1266124,975,1.0
1698155511.8138802,983,0.875
1698155559.642595,991,0.875
1698155607.126146,999,1.0
1698155654.2222464,1007,1.0
1698155701.7842982,1015,1.0
1698155749.5704389,1023,1.0
1698155797.387816,1031,1.0
1698155845.2421355,1039,0.875
1698155892.7614617,1047,1.0
1698155940.5630183,1055,1.0
1698155988.2787812,1063,0.875
1698156035.7635546,1071,1.0
1698156082.7632928,1079,1.0
1698156129.124615,1087,1.0
1698156175.767926,1095,0.875
1698156222.3646412,1103,0.875
1698156269.033686,1111,1.0
1698156315.1845167,1119,1.0
1698156361.5527313,1127,1.0
1698156408.0030935,1135,1.0
1698156454.602292,1143,1.0
1698156501.1562896,1151,0.875
1698156547.5572019,1159,1.0
1698156594.3329957,1167,1.0
1698156641.3993583,1175,1.0
1698156687.9545887,1183,1.0
1698156734.179493,1191,1.0
1698156781.4083843,1199,0.875
1698156827.9588447,1207,1.0
1698156874.1269705,1215,0.875
1698156920.6220036,1223,1.0
1698156967.22827,1231,1.0
1698157014.2595136,1239,1.0
1698157060.5363455,1247,0.875
1698157107.1089404,1255,1.0
1698157153.717945,1263,1.0
1698157200.3712385,1271,1.0
1698157246.7254672,1279,1.0
1698157293.878401,1287,1.0
1698157340.5759323,1295,1.0
1698157387.2135344,1303,1.0
1698157433.568922,1311,1.0
1698157480.2890873,1319,1.0
1698157526.984851,1327,0.875
1698157573.769309,1335,1.0
1698157620.3418374,1343,1.0
1698157666.638249,1351,1.0
1698157713.2787347,1359,0.875
1698157760.0729795,1367,1.0
1698157806.8130486,1375,1.0
1698157853.4759212,1383,1.0
1698157899.850954,1391,1.0
1698157946.2222533,1399,1.0
1698157992.5253131,1407,1.0
1698158039.2609394,1415,1.0
1698158085.8546584,1423,1.0
1698158132.2069855,1431,0.875
1698158178.525437,1439,1.0
1698158224.8281372,1447,0.875
1698158271.4215388,1455,1.0
1698158318.0015833,1463,0.875
1698158364.7609317,1471,0.875
1698158411.1953218,1479,1.0
1698158457.3600252,1487,1.0
1698158503.829395,1495,1.0
1698158550.4964082,1503,1.0
1698158597.1466742,1511,1.0
1698158644.0970776,1519,0.875
1698158690.618054,1527,1.0
1698158737.3819275,1535,1.0
1698158784.0853362,1543,0.875
1698158830.5132093,1551,1.0
1698158876.9670062,1559,1.0
1698158923.332719,1567,1.0
1698158969.7943826,1575,0.875
1698159016.4051805,1583,0.875
1698159062.8208833,1591,1.0
1698159108.7892048,1599,1.0
1698159155.0722015,1607,1.0
1698159201.3527465,1615,1.0
1698159247.8331804,1623,1.0
1698159294.2856922,1631,0.875
1698159340.7502227,1639,1.0
1698159387.3827095,1647,1.0
1698159434.2093072,1655,1.0
1698159480.6937296,1663,1.0
1698159526.6934228,1671,1.0
1698159573.636595,1679,0.875
1698159619.9219368,1687,1.0
1698159666.2725403,1695,0.875
1698159712.6051543,1703,1.0
1698159759.160031,1711,1.0
1698159806.1302044,1719,1.0
1698159852.3067806,1727,0.875
1698159899.0262325,1735,1.0
1698159945.6923852,1743,1.0
1698159992.371702,1751,1.0
1698160038.7410834,1759,1.0
1698160085.480847,1767,1.0
1698160132.1084201,1775,1.0
1698160178.9736738,1783,1.0
1698160225.4381742,1791,1.0
1698160271.9096694,1799,1.0
1698160318.4570427,1807,0.875
1698160365.0515144,1815,1.0
1698160411.7389596,1823,1.0
1698160457.9678838,1831,1.0
1698160504.7946298,1839,0.875
1698160551.4814012,1847,1.0
1698160598.0987718,1855,1.0
1698160644.541991,1863,1.0
1698160690.9600382,1871,1.0
1698160737.3815246,1879,1.0
1698160783.7212758,1887,1.0
1698160830.5222688,1895,1.0
1698160877.2727845,1903,1.0
1698160923.9006057,1911,0.875
1698160970.3434992,1919,1.0
1698161016.6594048,1927,0.875
1698161063.34112,1935,1.0
1698161110.0021975,1943,0.875
1698161156.7995243,1951,0.875
1698161203.2146764,1959,1.0
1698161249.5793839,1967,1.0
1698161296.3948474,1975,1.0
1698161343.2262,1983,1.0
1698161389.96874,1991,1.0
1698161436.7563024,1999,0.875
1698161483.2199976,2007,1.0
1698161530.1458082,2015,1.0
1698161576.6427794,2023,0.875
1698161623.2665896,2031,1.0
1698161669.9118743,2039,1.0
1698161716.9950023,2047,1.0
1698161763.8265324,2055,0.875
1698161810.3699086,2063,0.875
1698161856.7874105,2071,1.0
1698161902.8543482,2079,1.0
1698161949.133567,2087,1.0
1698161995.532536,2095,1.0
1698162041.9519327,2103,1.0
1698162088.376116,2111,0.875
1698162134.7913249,2119,1.0
1698162181.3849125,2127,1.0
1698162228.3061192,2135,1.0
1698162274.7073123,2143,1.0
1698162320.7624238,2151,1.0
1698162368.0321045,2159,0.875
1698162414.3571553,2167,1.0
1698162460.562296,2175,0.875
1698162506.915283,2183,1.0
1698162553.3449483,2191,1.0
1698162600.1823905,2199,1.0
1698162646.304126,2207,0.875
1698162692.9656768,2215,1.0
1698162739.5772047,2223,1.0
1698162786.0839593,2231,1.0
